Comparing "summit_gnu_cmake_32node_6ppn_6gpn_box-s2v96w32x560y32z24_s2v4w8x1y1z3_bk1_cuth-pop-20200624-ht/20200715_161030/stdout.txt.xz" and "summit_gnu_gmake_32node_42ppn_0gpn_box-s2v96w32x560y32z24_s2v4w8x7y1z3_bk0_master-202006pop-ht2/20200731_143800/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
        d_nrg                          1       1      0.44     0.17      1.5     0.1    4.3   4.5
          calc_moments                 0       1      0.00     0.07      0.0     0.0    0.0  44.3
      fld_init                         1       1    552.16   639.45   1844.3   250.8   95.1  95.3
        cal_prem                       1       1     20.91     5.96     69.8     2.3    3.8   0.9
          cp_p1                        1       1     20.91     5.96     69.8     2.3  100.0 100.0
          cp_p2                        1       1      0.00     0.00      0.0     0.0    0.0   0.0
        deriv_mat                      2       2      0.00     0.00      0.0     0.0    0.0   0.0
      ftch_mom                         1       0      0.00     0.00      0.0     0.0    0.0   0.0
      inidiag                          1       1      0.52     0.16      1.7     0.1    0.1   0.0
    t_loop                             1       1     29.94   255.01    100.0   100.0    4.9  15.9
      RK_standard                     95      95     25.27   239.23     84.4    93.8   84.4  93.8
        CalFRhs0                     380     380     12.55   159.67     41.9    62.6   49.7  66.7
          add_nl                     380    9120      8.61    91.80     28.7    36.0   68.5  57.5
            calc_nl                  380    9120      7.76    89.60     25.9    35.1   90.2  97.6
              mult_pre                 0    9120      0.00     3.08      0.0     1.2    0.0   3.4
              omultmax                 0   72960      0.00     1.24      0.0     0.5    0.0   1.4
          dApardt                    380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                    380    9120      0.82    10.16      2.7     4.0    6.5   6.4
          dfdxy_h                    380    9120      0.30     5.63      1.0     2.2    2.4   3.5
          dgdxy                      380    9120      0.82    12.92      2.7     5.1    6.5   8.1
          dzv_ak                     380    9120      0.58    17.91      1.9     7.0    4.6  11.2
          fdi_fld                    380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                      380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                      380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          ffld_nl                    380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          fg_nl                      380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                   380    9120      0.30     7.08      1.0     2.8    2.4   4.4
          kBuffer                    380    9120      0.30     1.88      1.0     0.7    2.4   1.2
          pfld_nl                    380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                     380     380      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                       380     380      0.00     0.00      0.0     0.0    0.0   0.0
          pr_hf                      380     380      0.00     0.00      0.0     0.0    0.0   0.0
          prdi_fld                   380    9120      0.34     4.00      1.1     1.6    2.7   2.5
            ex_x                     380    9120      0.03     1.05      0.1     0.4    9.5  26.3
              ex_gen                 380    9120      0.00     1.04      0.0     0.4    0.0  99.2
          prdi_g                     380    9120      0.24     3.89      0.8     1.5    1.9   2.4
            blex_g                   380    9120      0.24     3.88      0.8     1.5  100.0  99.8
              ex_x                   380    9120      0.03     0.90      0.1     0.4   13.1  23.1
                ex_gen               380    9120      0.00     0.89      0.0     0.3    0.0  99.1
          prdi_h                     380    9120      0.25     4.30      0.8     1.7    2.0   2.7
            blex_g                   380    9120      0.25     4.30      0.8     1.7  100.0  99.9
              ex_x                   380    9120      0.03     1.45      0.1     0.6   12.9  33.8
                ex_gen               380    9120      0.00     1.45      0.0     0.6    0.0  99.6
          prg_nl                     380    9120      0.00     0.00      0.0     0.0    0.0   0.0
        add_ks                       380       0      0.30     0.00      1.0     0.0    1.2   0.0
        calcaux                      380     380     11.68    66.73     39.0    26.2   46.2  27.9
          bar_emf                    380     380      0.68     6.30      2.3     2.5    5.8   9.4
            ex_z                     380       0      0.46     0.00      1.5     0.0   67.9   0.0
            exz                        0    1520      0.00     0.96      0.0     0.4    0.0  15.3
              ex_gen                   0    1520      0.00     0.95      0.0     0.4    0.0  98.8
          calc_df1                   380     380      2.92    15.93      9.8     6.2   25.0  23.9
            ex_v                     380     380      1.19     2.47      4.0     1.0   40.9  15.5
              ex_gen                   0    1520      0.00     2.47      0.0     1.0    0.0 100.0
            ex_z                     380       0      1.43     0.00      4.8     0.0   49.0   0.0
            exz                        0    1520      0.00     6.53      0.0     2.6    0.0  41.0
              ex_gen                   0    1520      0.00     5.73      0.0     2.2    0.0  87.8
          ccdens                     380     380      5.86    19.33     19.6     7.6   50.2  29.0
            calc_moments               0     380      0.00     9.19      0.0     3.6    0.0  47.5
            sum_vwsp                 380     380      5.35    10.08     17.9     4.0   91.2  52.1
          f_to_GPU                   380       0      0.10     0.00      0.3     0.0    0.9   0.0
          fldsolve                   380     380      1.49    11.32      5.0     4.4   12.8  17.0
            fldgathi                 760       0      0.17     0.00      0.6     0.0   11.4   0.0
            fldgathw                 380       0      0.83     0.00      2.8     0.0   56.0   0.0
          h_from_f                   380     380      0.61    13.84      2.0     5.4    5.2  20.7
            exz                        0    1520      0.00     0.21      0.0     0.1    0.0   1.5
              ex_gen                   0    1520      0.00     0.18      0.0     0.1    0.0  87.9
        eRK_stage_1                   95       0      7.16     0.00     23.9     0.0   28.3   0.0
        eRK_stage_2                   95       0      5.47     0.00     18.3     0.0   21.7   0.0
