Comparing "summit_gnu_cmake_128node_6ppn_6gpn_box-s2v96w64x1120y32z24_s2v4w32x1y1z3_bk1_cuth-pop-20200624-ht/20200716_171649/stdout.txt.xz" and "summit_gnu_gmake_128node_42ppn_0gpn_box-s2v96w64x1120y32z24_s2v4w32x7y1z3_bk0_master-202006pop-ht/20200715_165112/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
          calc_moments                 0       1      0.00     0.06      0.0     0.0    0.0  21.5
      fld_init                         1       1    668.70   638.49    467.9   235.7   96.0  93.6
        cal_prem                       1       1     86.17    23.06     60.3     8.5   12.9   3.6
          cp_p1                        1       1     86.17    23.06     60.3     8.5  100.0 100.0
          cp_p2                        1       1      0.00     0.00      0.0     0.0    0.0   0.0
        deriv_mat                      2       2      0.00     0.00      0.0     0.0    0.0   0.0
      ftch_mom                         1       0      0.00     0.00      0.0     0.0    0.0   0.0
      inidiag                          1       1      0.87     1.09      0.6     0.4    0.1   0.2
    t_loop                             1       1    142.92   270.85    100.0   100.0   16.8  15.7
      RK_standard                     95      95     39.63   252.54     27.7    93.2   27.7  93.2
        CalFRhs0                     380     380     13.07   160.15      9.1    59.1   33.0  63.4
          add_nl                     380   18240      9.04    91.98      6.3    34.0   69.2  57.4
            calc_nl                  380   18240      7.77    89.26      5.4    33.0   85.9  97.0
              mult_pre                 0   18240      0.00     2.22      0.0     0.8    0.0   2.5
              omultmax                 0   36480      0.00     1.28      0.0     0.5    0.0   1.4
          dApardt                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                    380   18240      0.82     9.97      0.6     3.7    6.3   6.2
          dfdxy_h                    380   18240      0.31     5.50      0.2     2.0    2.4   3.4
          dgdxy                      380   18240      0.82    10.93      0.6     4.0    6.3   6.8
          dzv_ak                     380   18240      0.63    21.10      0.4     7.8    4.9  13.2
          fdi_fld                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                      380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                      380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          ffld_nl                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
