Task 1025 ( 1025/3072, 5/6 ) is bound to cpu[s] 96 on host e28n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1026 ( 1026/3072, 0/6 ) is bound to cpu[s] 0 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1027 ( 1027/3072, 1/6 ) is bound to cpu[s] 4 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1028 ( 1028/3072, 2/6 ) is bound to cpu[s] 8 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1029 ( 1029/3072, 3/6 ) is bound to cpu[s] 88 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 103 ( 103/3072, 1/6 ) is bound to cpu[s] 4 on host e08n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1030 ( 1030/3072, 4/6 ) is bound to cpu[s] 92 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1031 ( 1031/3072, 5/6 ) is bound to cpu[s] 96 on host e28n02 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1032 ( 1032/3072, 0/6 ) is bound to cpu[s] 0 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1033 ( 1033/3072, 1/6 ) is bound to cpu[s] 4 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1034 ( 1034/3072, 2/6 ) is bound to cpu[s] 8 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
