     0.000000
  2.3128E-01  2.0832E-03  6.5916E-02  7.4854E-02  1.3169E-02 -4.6431E-09  1.8519E-02 -1.3496E-08  3.7085E-04 -4.6372E-08
  2.4389E-01  2.3298E-03  7.7181E-02  7.9430E-02  1.1859E-02 -7.3557E-09  5.0738E-02  3.3964E-06 -4.1299E-06  5.8816E-09
     0.000160
  2.5527E-01  2.4911E-03  6.7094E-02  8.6973E-02  6.9395E-03  1.4755E-05  9.9077E-03  3.0778E-05  8.2834E-04  8.0035E-06
  2.4390E-01  3.5520E-01  9.4572E-02  8.8143E-02  6.8340E-03 -5.2878E-04  2.9678E-02  8.5484E-03 -1.2655E-04 -9.7658E-05
     0.000320
  2.6074E-01  3.2174E-03  7.3625E-02  9.7622E-02  1.3481E-02  6.2488E-05  1.5660E-02  9.9909E-05 -6.7855E-04 -2.0164E-05
  2.5247E-01  1.6745E+00  1.8828E-01  9.4824E-02  1.3799E-02 -6.3405E-04  5.5141E-02  2.8503E-02  2.3347E-04 -1.6505E-04
     0.000480
  2.7027E-01  5.6270E-03  6.9262E-02  1.0565E-01  2.6721E-02  1.4960E-04  3.4102E-02  2.6047E-04  4.0789E-04  1.6821E-04
  2.8220E-01  3.1723E+00  4.1055E-01  1.8258E-01  2.5344E-02 -7.6523E-03  9.3013E-02  7.3442E-02 -1.2330E-03  9.0197E-05
     0.000640
  3.3317E-01  9.2138E-03  7.6356E-02  1.5214E-01  1.4935E-02  2.6872E-04  1.8344E-02  3.9823E-04 -2.1148E-03  1.4344E-04
  3.0775E-01  5.7821E+00  1.0344E+00  2.0404E-01  3.1805E-02 -3.2604E-05  1.0365E-01  2.4805E-01  1.1663E-03 -1.1540E-03
     0.000800
  4.2144E-01  1.3602E-02  8.4688E-02  2.2486E-01  1.9768E-02  4.0704E-04  1.2820E-03  5.7769E-04  4.7750E-03  6.6076E-04
  4.1626E-01  9.5674E+00  2.0202E+00  2.8151E-01 -2.9367E-02  7.2848E-02 -5.9513E-01  7.2688E-01 -4.6126E-03 -1.8193E-03
     0.000960
  5.0056E-01  1.8287E-02  7.7857E-02  3.1853E-01  1.2844E-03  6.9918E-04 -7.8342E-02  1.4846E-03  2.4413E-03  1.1267E-03
  5.6499E-01  1.2318E+01  3.6920E+00  4.6926E-01 -1.9258E-02 -5.0947E-02 -1.5936E-01  3.2731E-01 -3.6742E-03  1.2879E-04
     0.001120
  7.6580E-01  3.2669E-02  7.4189E-02  5.6549E-01  2.7831E-02  9.7017E-04 -1.1509E-01  1.3115E-03 -2.7901E-02  1.2352E-03
  7.3324E-01  1.8208E+01  6.8855E+00  7.2851E-01  1.5264E-01  1.4148E-02 -8.6803E-02  7.4568E-01  1.9843E-03  1.8610E-04
     0.001280
  1.3301E+00  5.2526E-02  8.8496E-02  1.0613E+00  1.7757E-02  1.5346E-03 -1.2349E-01  1.5487E-03 -8.0928E-03  1.8164E-03
  1.1879E+00  2.4608E+01  1.2625E+01  7.7390E-01 -1.7684E-01  4.3978E-03 -1.6742E-01  2.1413E-01  9.0295E-03  4.6691E-03
     0.001434
  1.5064E+00  7.9841E-02  9.6167E-02  1.2934E+00 -3.0440E-02  1.6385E-03 -4.7676E-01  2.5491E-03 -8.2083E-03  2.8936E-03
  1.6053E+00  3.3843E+01  1.7739E+01  1.9724E+00 -4.5649E-02  7.1066E-02 -4.6784E+00  5.1367E-01  1.2875E-02 -2.6214E-03
     0.001586
  2.2500E+00  1.2197E-01  1.2223E-01  2.1049E+00 -8.5073E-02  1.8894E-03 -9.9011E-01  2.9965E-03  2.2242E-02  1.5021E-03
  2.2638E+00  4.1917E+01  3.2191E+01  2.6846E+00 -1.2154E-01 -3.5499E-02 -4.8633E+00  2.0949E+00  2.9665E-02  8.1550E-03
