Comparing "summit_gnu_cmake_64node_6ppn_6gpn_box-s2v96w64x560y32z24_s2v4w16x1y1z3_bk1_cuth-pop-20200624-ht/20200715_162029/stdout.txt.xz" and "summit_gnu_gmake_64node_42ppn_0gpn_box-s2v96w64x560y32z24_s2v4w16x7y1z3_bk0_master-202006pop-ht/20200715_165058/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
GENE                                   1       1    649.70  1944.73   2078.0   757.7    0.0   0.0
  gsub                                 1       1    649.69  1944.72   2078.0   757.7  100.0 100.0
    autopar                            1       1      3.78   738.29     12.1   287.7    0.6  38.0
      RK_standard                      0      24      0.00    61.76      0.0    24.1    0.0   8.4
        CalFRhs0                       0      96      0.00    41.21      0.0    16.1    0.0  66.7
          add_nl                       0    2304      0.00    23.15      0.0     9.0    0.0  56.2
            calc_nl                    0    2304      0.00    22.25      0.0     8.7    0.0  96.1
              mult_pre                 0    2304      0.00     0.69      0.0     0.3    0.0   3.1
              omultmax                 0   18432      0.00     0.33      0.0     0.1    0.0   1.5
          dApardt                      0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                      0    2304      0.00     2.56      0.0     1.0    0.0   6.2
          dfdxy_h                      0    2304      0.00     2.06      0.0     0.8    0.0   5.0
          dgdxy                        0    2304      0.00     3.15      0.0     1.2    0.0   7.6
          dzv_ak                       0    2304      0.00     4.77      0.0     1.9    0.0  11.6
          fdi_fld                      0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                        0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                        0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          ffld_nl                      0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          fg_nl                        0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                     0    2304      0.00     1.76      0.0     0.7    0.0   4.3
          kBuffer                      0    2304      0.00     0.47      0.0     0.2    0.0   1.2
          pfld_nl                      0    2304      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                       0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                         0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_hf                        0      96      0.00     0.00      0.0     0.0    0.0   0.0
          prdi_fld                     0    2304      0.00     0.98      0.0     0.4    0.0   2.4
            ex_x                       0    2304      0.00     0.23      0.0     0.1    0.0  23.7
              ex_gen                   0    2304      0.00     0.21      0.0     0.1    0.0  90.5
          prdi_g                       0    2304      0.00     1.20      0.0     0.5    0.0   2.9
            blex_g                     0    2304      0.00     1.20      0.0     0.5    0.0  99.8
              ex_x                     0    2304      0.00     0.26      0.0     0.1    0.0  22.0
                ex_gen                 0    2304      0.00     0.24      0.0     0.1    0.0  89.7
          prdi_h                       0    2304      0.00     1.09      0.0     0.4    0.0   2.7
            blex_g                     0    2304      0.00     1.09      0.0     0.4    0.0  99.8
              ex_x                     0    2304      0.00     0.34      0.0     0.1    0.0  31.4
                ex_gen                 0    2304      0.00     0.32      0.0     0.1    0.0  91.8
          prg_nl                       0    2304      0.00     0.00      0.0     0.0    0.0   0.0
        calcaux                        0      96      0.00    17.35      0.0     6.8    0.0  28.1
          bar_emf                      0      96      0.00     1.46      0.0     0.6    0.0   8.4
            exz                        0     384      0.00     0.14      0.0     0.1    0.0   9.5
              ex_gen                   0     384      0.00     0.14      0.0     0.1    0.0  97.8
          calc_df1                     0      96      0.00     4.34      0.0     1.7    0.0  25.0
            ex_v                       0      96      0.00     0.88      0.0     0.3    0.0  20.2
              ex_gen                   0     348      0.00     0.88      0.0     0.3    0.0 100.0
            exz                        0     348      0.00     1.73      0.0     0.7    0.0  39.9
              ex_gen                   0     348      0.00     1.53      0.0     0.6    0.0  88.4
          ccdens                       0      96      0.00     5.45      0.0     2.1    0.0  31.4
            calc_moments               0      96      0.00     2.34      0.0     0.9    0.0  43.0
            sum_vwsp                   0      96      0.00     3.09      0.0     1.2    0.0  56.7
          fldsolve                     0      96      0.00     2.75      0.0     1.1    0.0  15.9
          h_from_f                     0      96      0.00     3.34      0.0     1.3    0.0  19.3
            exz                        0     384      0.00     0.05      0.0     0.0    0.0   1.5
              ex_gen                   0     384      0.00     0.04      0.0     0.0    0.0  88.2
      deriv_mat                        0       2      0.00     0.00      0.0     0.0    0.0   0.0
      fld_init                         0       8      0.00   649.48      0.0   253.1    0.0  88.0
        cal_prem                       0       1      0.00     6.04      0.0     2.4    0.0   0.9
          cp_p1                        0       1      0.00     6.04      0.0     2.4    0.0 100.0
          cp_p2                        0       1      0.00     0.00      0.0     0.0    0.0   0.0
        deriv_mat                      0       2      0.00     0.00      0.0     0.0    0.0   0.0
    initialization                     1       1    612.17   949.70   1958.0   370.0   94.2  48.8
      deriv_mat                        2       2      0.00     0.00      0.0     0.0    0.0   0.0
      diag_exec                        1       1     10.21     5.57     32.7     2.2    1.7   0.6
        calc_moments                   1       1      5.25     1.06     16.8     0.4   51.4  19.0
        calcaux                        1       1      0.24     0.11      0.8     0.0    2.4   1.9
          bar_emf                      1       1      0.05     0.01      0.2     0.0   21.3  14.2
            ex_z                       1       0      0.03     0.00      0.1     0.0   63.5   0.0
            exz                        0       4      0.00     0.00      0.0     0.0    0.0   0.0
              ex_gen                   0       4      0.00     0.00      0.0     0.0    0.0   0.0
          calc_df1                     1       1      0.10     0.04      0.3     0.0   42.6  38.7
            ex_v                       1       1      0.04     0.01      0.1     0.0   42.3  14.6
              ex_gen                   0       4      0.00     0.01      0.0     0.0    0.0 100.0
            ex_z                       1       0      0.06     0.00      0.2     0.0   55.8   0.0
            exz                        0       4      0.00     0.02      0.0     0.0    0.0  39.0
              ex_gen                   0       4      0.00     0.01      0.0     0.0    0.0  87.5
          ccdens                       1       1      0.07     0.03      0.2     0.0   29.5  24.5
            calc_moments               0       1      0.00     0.02      0.0     0.0    0.0  84.6
            sum_vwsp                   1       1      0.01     0.00      0.0     0.0   16.7  11.5
          f_to_GPU                     1       0      0.00     0.00      0.0     0.0    0.4   0.0
          fldsolve                     1       1      0.02     0.03      0.1     0.0    6.6  23.6
            fldgathi                   2       0      0.00     0.00      0.0     0.0   18.8   0.0
            fldgathw                   1       0      0.01     0.00      0.0     0.0   62.5   0.0
        chpt_out                       1       1      1.18     3.53      3.8     1.4   11.6  63.4
        d_nrg                          1       1      0.44     0.18      1.4     0.1    4.3   3.3
          calc_moments                 0       1      0.00     0.07      0.0     0.0    0.0  40.2
      fld_init                         1       1    584.81   914.27   1870.5   356.2   95.5  96.3
        cal_prem                       1       1     20.60     5.88     65.9     2.3    3.5   0.6
          cp_p1                        1       1     20.60     5.88     65.9     2.3  100.0 100.0
          cp_p2                        1       1      0.00     0.00      0.0     0.0    0.0   0.0
        deriv_mat                      2       2      0.00     0.00      0.0     0.0    0.0   0.0
      ftch_mom                         1       0      0.00     0.00      0.0     0.0    0.0   0.0
      inidiag                          1       1      0.59     0.43      1.9     0.2    0.1   0.0
    t_loop                             1       1     31.27   256.65    100.0   100.0    4.8  13.2
      RK_standard                     95      95     26.32   240.70     84.2    93.8   84.2  93.8
        CalFRhs0                     380     380     12.77   159.67     40.9    62.2   48.5  66.3
          add_nl                     380    9120      8.83    92.20     28.2    35.9   69.1  57.7
            calc_nl                  380    9120      7.76    89.27     24.8    34.8   87.9  96.8
              mult_pre                 0    9120      0.00     2.79      0.0     1.1    0.0   3.1
              omultmax                 0   72960      0.00     1.26      0.0     0.5    0.0   1.4
          dApardt                    380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                    380    9120      0.82    10.09      2.6     3.9    6.4   6.3
          dfdxy_h                    380    9120      0.30     5.59      1.0     2.2    2.4   3.5
          dgdxy                      380    9120      0.82    11.91      2.6     4.6    6.4   7.5
          dzv_ak                     380    9120      0.58    18.07      1.8     7.0    4.5  11.3
          fdi_fld                    380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                      380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                      380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          ffld_nl                    380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          fg_nl                      380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                   380    9120      0.30     6.99      0.9     2.7    2.3   4.4
          kBuffer                    380    9120      0.30     1.93      1.0     0.8    2.4   1.2
          pfld_nl                    380    9120      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                     380     380      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                       380     380      0.00     0.00      0.0     0.0    0.0   0.0
          pr_hf                      380     380      0.00     0.00      0.0     0.0    0.0   0.0
          prdi_fld                   380    9120      0.34     3.85      1.1     1.5    2.6   2.4
            ex_x                     380    9120      0.03     1.06      0.1     0.4    9.5  27.7
              ex_gen                 380    9120      0.00     1.01      0.0     0.4    0.0  94.9
          prdi_g                     380    9120      0.24     4.58      0.8     1.8    1.9   2.9
            blex_g                   380    9120      0.24     4.57      0.8     1.8   99.2  99.8
              ex_x                   380    9120      0.03     1.02      0.1     0.4   12.9  22.3
                ex_gen               380    9120      0.00     0.94      0.0     0.4    0.0  92.1
          prdi_h                     380    9120      0.25     4.37      0.8     1.7    1.9   2.7
            blex_g                   380    9120      0.25     4.37      0.8     1.7  100.0  99.9
              ex_x                   380    9120      0.03     1.41      0.1     0.5   12.9  32.2
                ex_gen               380    9120      0.00     1.32      0.0     0.5    0.0  93.9
          prg_nl                     380    9120      0.00     0.00      0.0     0.0    0.0   0.0
        add_ks                       380       0      0.30     0.00      1.0     0.0    1.2   0.0
        calcaux                      380     380     12.50    68.71     40.0    26.8   47.5  28.5
          bar_emf                    380     380      0.51     5.80      1.6     2.3    4.1   8.4
            ex_z                     380       0      0.30     0.00      1.0     0.0   59.0   0.0
            exz                        0    1520      0.00     0.56      0.0     0.2    0.0   9.7
              ex_gen                   0    1520      0.00     0.55      0.0     0.2    0.0  97.9
          calc_df1                   380     380      2.92    16.49      9.3     6.4   23.3  24.0
            ex_v                     380     380      1.18     3.20      3.8     1.2   40.6  19.4
              ex_gen                   0    1520      0.00     3.20      0.0     1.2    0.0 100.0
            ex_z                     380       0      1.44     0.00      4.6     0.0   49.2   0.0
            exz                        0    1520      0.00     6.43      0.0     2.5    0.0  39.0
              ex_gen                   0    1520      0.00     5.66      0.0     2.2    0.0  88.0
          ccdens                     380     380      6.64    21.84     21.2     8.5   53.1  31.8
            calc_moments               0     380      0.00     9.28      0.0     3.6    0.0  42.5
            sum_vwsp                 380     380      6.13    12.50     19.6     4.9   92.4  57.2
          f_to_GPU                   380       0      0.10     0.00      0.3     0.0    0.8   0.0
          fldsolve                   380     380      1.72    10.91      5.5     4.2   13.8  15.9
            fldgathi                 760       0      0.09     0.00      0.3     0.0    5.2   0.0
            fldgathw                 380       0      1.17     0.00      3.7     0.0   67.6   0.0
          h_from_f                   380     380      0.61    13.67      2.0     5.3    4.9  19.9
            exz                        0    1520      0.00     0.20      0.0     0.1    0.0   1.5
              ex_gen                   0    1520      0.00     0.18      0.0     0.1    0.0  89.6
        eRK_stage_1                   95       0      7.65     0.00     24.5     0.0   29.1   0.0
