Comparing "summit_gnu_cmake_16node_6ppn_6gpn_box-s2v48w32x560y32z24_s2v2w8x1y1z3_bk1_cuth-pop-20200624-ht/20200715_154919/stdout.txt.xz" and "summit_gnu_gmake_16node_42ppn_0gpn_box-s2v48w32x560y32z24_s2v2w8x7y1z3_bk0_master-202006pop-ht/20200715_165027/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
GENE                                   1       1    611.66  1533.96   2254.1   618.2    0.0   0.0
  gsub                                 1       1    611.65  1533.94   2254.1   618.2  100.0 100.0
    autopar                            1       1      3.68   672.27     13.6   270.9    0.6  43.8
      RK_standard                      0      24      0.00    59.12      0.0    23.8    0.0   8.8
        CalFRhs0                       0      96      0.00    39.83      0.0    16.1    0.0  67.4
          add_nl                       0    4608      0.00    22.52      0.0     9.1    0.0  56.5
            calc_nl                    0    4608      0.00    22.03      0.0     8.9    0.0  97.8
              mult_pre                 0    4608      0.00     0.45      0.0     0.2    0.0   2.0
              omultmax                 0   18432      0.00     0.33      0.0     0.1    0.0   1.5
          dApardt                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                      0    4608      0.00     2.51      0.0     1.0    0.0   6.3
          dfdxy_h                      0    4608      0.00     2.04      0.0     0.8    0.0   5.1
          dgdxy                        0    4608      0.00     3.06      0.0     1.2    0.0   7.7
          dzv_ak                       0    4608      0.00     4.82      0.0     1.9    0.0  12.1
          fdi_fld                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          ffld_nl                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          fg_nl                        0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                     0    4608      0.00     1.75      0.0     0.7    0.0   4.4
          kBuffer                      0    4608      0.00     0.46      0.0     0.2    0.0   1.1
          pfld_nl                      0    4608      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                       0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                         0      96      0.00     0.00      0.0     0.0    0.0   0.0
          pr_hf                        0      96      0.00     0.00      0.0     0.0    0.0   0.0
          prdi_fld                     0    4608      0.00     0.88      0.0     0.4    0.0   2.2
            ex_x                       0    4608      0.00     0.23      0.0     0.1    0.0  26.3
              ex_gen                   0    4608      0.00     0.21      0.0     0.1    0.0  93.5
          prdi_g                       0    4608      0.00     0.85      0.0     0.3    0.0   2.1
            blex_g                     0    4608      0.00     0.85      0.0     0.3    0.0  99.8
              ex_x                     0    4608      0.00     0.19      0.0     0.1    0.0  21.8
                ex_gen                 0    4608      0.00     0.17      0.0     0.1    0.0  91.4
          prdi_h                       0    4608      0.00     0.90      0.0     0.4    0.0   2.3
            blex_g                     0    4608      0.00     0.90      0.0     0.4    0.0  99.7
              ex_x                     0    4608      0.00     0.33      0.0     0.1    0.0  37.1
                ex_gen                 0    4608      0.00     0.31      0.0     0.1    0.0  93.1
          prg_nl                       0    4608      0.00     0.00      0.0     0.0    0.0   0.0
        calcaux                        0      96      0.00    16.14      0.0     6.5    0.0  27.3
          bar_emf                      0      96      0.00     1.58      0.0     0.6    0.0   9.8
            exz                        0     384      0.00     0.27      0.0     0.1    0.0  17.3
              ex_gen                   0     384      0.00     0.27      0.0     0.1    0.0  98.9
          calc_df1                     0      96      0.00     3.90      0.0     1.6    0.0  24.1
            ex_v                       0      96      0.00     0.43      0.0     0.2    0.0  11.0
              ex_gen                   0     348      0.00     0.43      0.0     0.2    0.0  99.8
            exz                        0     348      0.00     1.71      0.0     0.7    0.0  43.8
              ex_gen                   0     348      0.00     1.53      0.0     0.6    0.0  89.3
          ccdens                       0      96      0.00     4.53      0.0     1.8    0.0  28.1
            calc_moments               0      96      0.00     2.28      0.0     0.9    0.0  50.3
            sum_vwsp                   0      96      0.00     2.24      0.0     0.9    0.0  49.3
          fldsolve                     0      96      0.00     2.78      0.0     1.1    0.0  17.2
          h_from_f                     0      96      0.00     3.35      0.0     1.3    0.0  20.7
            exz                        0     384      0.00     0.06      0.0     0.0    0.0   1.8
              ex_gen                   0     384      0.00     0.06      0.0     0.0    0.0  91.7
      deriv_mat                        0       2      0.00     0.00      0.0     0.0    0.0   0.0
      fld_init                         0       8      0.00   585.47      0.0   236.0    0.0  87.1
        cal_prem                       0       1      0.00     5.97      0.0     2.4    0.0   1.0
          cp_p1                        0       1      0.00     5.97      0.0     2.4    0.0 100.0
          cp_p2                        0       1      0.00     0.00      0.0     0.0    0.0   0.0
        deriv_mat                      0       2      0.00     0.00      0.0     0.0    0.0   0.0
    initialization                     1       1    578.54   613.48   2132.1   247.2   94.6  40.0
      deriv_mat                        2       2      0.00     0.00      0.0     0.0    0.0   0.0
      diag_exec                        1       1      9.81     2.90     36.2     1.2    1.7   0.5
        calc_moments                   1       1      5.34     0.99     19.7     0.4   54.4  34.3
        calcaux                        1       1      0.26     0.11      1.0     0.0    2.7   3.7
          bar_emf                      1       1      0.07     0.01      0.2     0.0   25.5  13.9
            ex_z                       1       0      0.05     0.00      0.2     0.0   70.1   0.0
            exz                        0       4      0.00     0.00      0.0     0.0    0.0   0.0
              ex_gen                   0       4      0.00     0.00      0.0     0.0    0.0   0.0
          calc_df1                     1       1      0.11     0.04      0.4     0.0   40.7  41.7
            ex_v                       1       1      0.05     0.01      0.2     0.0   43.0  22.2
              ex_gen                   0       1      0.00     0.01      0.0     0.0    0.0 100.0
            ex_z                       1       0      0.06     0.00      0.2     0.0   55.1   0.0
            exz                        0       4      0.00     0.02      0.0     0.0    0.0  37.8
              ex_gen                   0       4      0.00     0.01      0.0     0.0    0.0  88.2
          ccdens                       1       1      0.07     0.03      0.3     0.0   28.5  23.1
            calc_moments               0       1      0.00     0.02      0.0     0.0    0.0  88.0
            sum_vwsp                   1       1      0.01     0.00      0.0     0.0   16.0   8.0
          f_to_GPU                     1       0      0.00     0.00      0.0     0.0    0.0   0.0
          fldsolve                     1       1      0.01     0.02      0.1     0.0    5.3  22.2
            fldgathi                   2       0      0.00     0.00      0.0     0.0   21.4   0.0
            fldgathw                   1       0      0.01     0.00      0.0     0.0   35.7   0.0
        chpt_out                       1       1      0.74     0.93      2.7     0.4    7.5  32.1
        d_nrg                          1       1      0.38     0.14      1.4     0.1    3.8   4.9
          calc_moments                 0       1      0.00     0.07      0.0     0.0    0.0  47.9
      fld_init                         1       1    550.64   585.01   2029.3   235.8   95.2  95.4
        cal_prem                       1       1     20.56     5.91     75.8     2.4    3.7   1.0
          cp_p1                        1       1     20.56     5.91     75.8     2.4  100.0 100.0
          cp_p2                        1       1      0.00     0.00      0.0     0.0    0.0   0.0
        deriv_mat                      2       2      0.00     0.00      0.0     0.0    0.0   0.0
      ftch_mom                         1       0      0.00     0.00      0.0     0.0    0.0   0.0
      inidiag                          1       1      0.33     0.37      1.2     0.1    0.1   0.1
    t_loop                             1       1     27.14   248.12    100.0   100.0    4.4  16.2
      RK_standard                     95      95     22.90   232.92     84.4    93.9   84.4  93.9
        CalFRhs0                     380     380     12.07   154.57     44.5    62.3   52.7  66.4
          add_nl                     380   18240      8.11    89.98     29.9    36.3   67.2  58.2
            calc_nl                  380   18240      7.76    87.17     28.6    35.1   95.7  96.9
              mult_pre                 0   18240      0.00     1.93      0.0     0.8    0.0   2.2
              omultmax                 0   72960      0.00     1.23      0.0     0.5    0.0   1.4
          dApardt                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                    380   18240      0.82     9.92      3.0     4.0    6.8   6.4
          dfdxy_h                    380   18240      0.30     5.55      1.1     2.2    2.5   3.6
          dgdxy                      380   18240      0.82    11.71      3.0     4.7    6.8   7.6
          dzv_ak                     380   18240      0.58    18.37      2.1     7.4    4.8  11.9
          fdi_fld                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                      380   18240      0.00     0.00      0.0     0.0    0.0   0.0
