Comparing "summit_gnu_cmake_256node_6ppn_6gpn_box-s2v96w64x1120y32z48_s2v4w32x1y1z6_bk1_cuth-pop-20200624-ht/20200716_155921/stdout.txt.xz" and "summit_gnu_gmake_256node_42ppn_0gpn_box-s2v96w64x1120y32z48_s2v4w32x7y1z6_bk0_master-202006pop-ht/20200716_102254/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
          calc_moments                 0       1      0.00     0.06      0.0     0.0    0.0  16.6
      fld_init                         1       1    682.64   699.66    409.0   249.4   96.2  93.8
        cal_prem                       1       1     85.05    23.02     51.0     8.2   12.5   3.3
          cp_p1                        1       1     85.05    23.02     51.0     8.2  100.0 100.0
          cp_p2                        1       1      0.00     0.00      0.0     0.0    0.0   0.0
        deriv_mat                      2       2      0.00     0.00      0.0     0.0    0.0   0.0
      ftch_mom                         1       0      0.00     0.00      0.0     0.0    0.0   0.0
      inidiag                          1       1      1.32     2.33      0.8     0.8    0.2   0.3
    t_loop                             1       1    166.92   280.57    100.0   100.0   18.9  15.5
      RK_standard                     95      95     46.63   260.89     27.9    93.0   27.9  93.0
        CalFRhs0                     380     380     12.69   162.14      7.6    57.8   27.2  62.1
          add_nl                     380   18240      8.67    93.12      5.2    33.2   68.3  57.4
            calc_nl                  380   18240      7.78    88.68      4.7    31.6   89.7  95.2
              mult_pre                 0   18240      0.00     2.40      0.0     0.9    0.0   2.7
              omultmax                 0   36480      0.00     1.25      0.0     0.4    0.0   1.4
          dApardt                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                    380   18240      0.82    10.04      0.5     3.6    6.5   6.2
          dfdxy_h                    380   18240      0.30     5.54      0.2     2.0    2.4   3.4
          dgdxy                      380   18240      0.82    10.84      0.5     3.9    6.5   6.7
          dzv_ak                     380   18240      0.63    21.32      0.4     7.6    5.0  13.1
          fdi_fld                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                      380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                      380   18240      0.00     0.01      0.0     0.0    0.0   0.0
          ffld_nl                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          fg_nl                      380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                   380   18240      0.31     7.41      0.2     2.6    2.5   4.6
          kBuffer                    380   18240      0.31     1.85      0.2     0.7    2.4   1.1
          pfld_nl                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                     380     380      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                       380     380      0.00     0.00      0.0     0.0    0.0   0.0
          pr_hf                      380     380      0.00     0.00      0.0     0.0    0.0   0.0
          prdi_fld                   380   18240      0.33     5.17      0.2     1.8    2.6   3.2
            ex_x                     380   18240      0.03     0.57      0.0     0.2    8.4  11.1
              ex_gen                 380   18240      0.00     0.53      0.0     0.2    0.0  93.4
          prdi_g                     380   18240      0.24     3.44      0.1     1.2    1.9   2.1
            blex_g                   380   18240      0.24     3.42      0.1     1.2   99.2  99.6
