Comparing "summit_gnu_cmake_512node_6ppn_6gpn_box-s2v96w128x1120y32z48_s2v4w64x1y1z6_bk1_cuth-pop-20200624-ht2/20200803_161319/stdout.txt.xz" and "summit_gnu_gmake_512node_42ppn_0gpn_box-s2v96w128x1120y32z48_s2v4w64x7y1z6_bk0_master-202006pop-ht2/20200803_160710/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
        d_nrg                          1       1      1.01     0.63      1.3     0.2    7.3   2.4
          calc_moments                 0       1      0.00     0.06      0.0     0.0    0.0   9.8
      fld_init                         1       1    714.79   698.41    949.6   243.4   95.8  90.3
        cal_prem                       1       1     85.19    22.88    113.2     8.0   11.9   3.3
          cp_p1                        1       1     85.19    22.88    113.2     8.0  100.0 100.0
          cp_p2                        1       1      0.00     0.00      0.0     0.0    0.0   0.0
        deriv_mat                      2       2      0.00     0.00      0.0     0.0    0.0   0.0
      ftch_mom                         1       0      0.00     0.00      0.0     0.0    0.0   0.0
      inidiag                          1       1      0.99     3.74      1.3     1.3    0.1   0.5
    t_loop                             1       1     75.28   286.98    100.0   100.0    9.1  14.1
      RK_standard                     95      95     43.00   264.63     57.1    92.2   57.1  92.2
        CalFRhs0                     380     380     12.85   165.48     17.1    57.7   29.9  62.5
          add_nl                     380   18240      8.83    93.88     11.7    32.7   68.7  56.7
            calc_nl                  380   18240      7.77    89.99     10.3    31.4   88.0  95.9
              mult_pre                 0   18240      0.00     2.35      0.0     0.8    0.0   2.6
              omultmax                 0   36480      0.00     1.22      0.0     0.4    0.0   1.4
          dApardt                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          dchidxy                    380   18240      0.82     9.95      1.1     3.5    6.4   6.0
          dfdxy_h                    380   18240      0.31     9.41      0.4     3.3    2.4   5.7
          dgdxy                      380   18240      0.82    11.66      1.1     4.1    6.4   7.0
          dzv_ak                     380   18240      0.64    19.82      0.8     6.9    5.0  12.0
          fdi_fld                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_g                      380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          fdi_h                      380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          ffld_nl                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          fg_nl                      380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          hypz_cmp                   380   18240      0.31     7.14      0.4     2.5    2.4   4.3
          kBuffer                    380   18240      0.31     1.69      0.4     0.6    2.4   1.0
          pfld_nl                    380   18240      0.00     0.00      0.0     0.0    0.0   0.0
          pr_fld                     380     380      0.00     0.00      0.0     0.0    0.0   0.0
          pr_g                       380     380      0.00     0.00      0.0     0.0    0.0   0.0
          pr_hf                      380     380      0.00     0.00      0.0     0.0    0.0   0.0
          prdi_fld                   380   18240      0.33     5.13      0.4     1.8    2.6   3.1
            ex_x                     380   18240      0.03     1.17      0.0     0.4    7.8  22.8
