Task 127 ( 127/384, 1/6 ) is bound to cpu[s] 4 on host c08n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 128 ( 128/384, 2/6 ) is bound to cpu[s] 8 on host c08n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 129 ( 129/384, 3/6 ) is bound to cpu[s] 88 on host c08n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 13 ( 13/384, 1/6 ) is bound to cpu[s] 4 on host c06n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 130 ( 130/384, 4/6 ) is bound to cpu[s] 92 on host c08n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 131 ( 131/384, 5/6 ) is bound to cpu[s] 96 on host c08n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 132 ( 132/384, 0/6 ) is bound to cpu[s] 0 on host c08n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 133 ( 133/384, 1/6 ) is bound to cpu[s] 4 on host c08n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 134 ( 134/384, 2/6 ) is bound to cpu[s] 8 on host c08n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 135 ( 135/384, 3/6 ) is bound to cpu[s] 88 on host c08n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 136 ( 136/384, 4/6 ) is bound to cpu[s] 92 on host c08n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 137 ( 137/384, 5/6 ) is bound to cpu[s] 96 on host c08n18 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 138 ( 138/384, 0/6 ) is bound to cpu[s] 0 on host c09n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 139 ( 139/384, 1/6 ) is bound to cpu[s] 4 on host c09n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 14 ( 14/384, 2/6 ) is bound to cpu[s] 8 on host c06n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 140 ( 140/384, 2/6 ) is bound to cpu[s] 8 on host c09n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 141 ( 141/384, 3/6 ) is bound to cpu[s] 88 on host c09n01 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
