Task 0 ( 0/1536, 0/6 ) is bound to cpu[s] 0 on host a09n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1 ( 1/1536, 1/6 ) is bound to cpu[s] 4 on host a09n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 10 ( 10/1536, 4/6 ) is bound to cpu[s] 92 on host a30n16 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 100 ( 100/1536, 4/6 ) is bound to cpu[s] 92 on host b21n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1000 ( 1000/1536, 4/6 ) is bound to cpu[s] 92 on host d22n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1001 ( 1001/1536, 5/6 ) is bound to cpu[s] 96 on host d22n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1002 ( 1002/1536, 0/6 ) is bound to cpu[s] 0 on host d22n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1003 ( 1003/1536, 1/6 ) is bound to cpu[s] 4 on host d22n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1004 ( 1004/1536, 2/6 ) is bound to cpu[s] 8 on host d22n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1005 ( 1005/1536, 3/6 ) is bound to cpu[s] 88 on host d22n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1006 ( 1006/1536, 4/6 ) is bound to cpu[s] 92 on host d22n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1007 ( 1007/1536, 5/6 ) is bound to cpu[s] 96 on host d22n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1008 ( 1008/1536, 0/6 ) is bound to cpu[s] 0 on host d23n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1009 ( 1009/1536, 1/6 ) is bound to cpu[s] 4 on host d23n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 101 ( 101/1536, 5/6 ) is bound to cpu[s] 96 on host b21n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1010 ( 1010/1536, 2/6 ) is bound to cpu[s] 8 on host d23n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1011 ( 1011/1536, 3/6 ) is bound to cpu[s] 88 on host d23n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1012 ( 1012/1536, 4/6 ) is bound to cpu[s] 92 on host d23n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1013 ( 1013/1536, 5/6 ) is bound to cpu[s] 96 on host d23n12 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1014 ( 1014/1536, 0/6 ) is bound to cpu[s] 0 on host d23n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1015 ( 1015/1536, 1/6 ) is bound to cpu[s] 4 on host d23n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1016 ( 1016/1536, 2/6 ) is bound to cpu[s] 8 on host d23n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1017 ( 1017/1536, 3/6 ) is bound to cpu[s] 88 on host d23n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1018 ( 1018/1536, 4/6 ) is bound to cpu[s] 92 on host d23n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1019 ( 1019/1536, 5/6 ) is bound to cpu[s] 96 on host d23n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 102 ( 102/1536, 0/6 ) is bound to cpu[s] 0 on host b21n17 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1020 ( 1020/1536, 0/6 ) is bound to cpu[s] 0 on host d23n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1021 ( 1021/1536, 1/6 ) is bound to cpu[s] 4 on host d23n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1022 ( 1022/1536, 2/6 ) is bound to cpu[s] 8 on host d23n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1023 ( 1023/1536, 3/6 ) is bound to cpu[s] 88 on host d23n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1024 ( 1024/1536, 4/6 ) is bound to cpu[s] 92 on host d23n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1025 ( 1025/1536, 5/6 ) is bound to cpu[s] 96 on host d23n14 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1026 ( 1026/1536, 0/6 ) is bound to cpu[s] 0 on host d23n15 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
